id,admission_number,first_name,last_name,middle_name,date_of_birth,gender,email,phone,address,class_id,status
1253,ADM2046,Carol,Hernandez,,2010-02-09,Female,,,"9127 Oak Avenue, Springfield",235.0,active
1254,ADM2047,John,Thomas,,2011-07-17,Male,,,"1170 Maple Road, Forestville",235.0,active
1256,ADM2049,David,Garcia,,2007-12-30,Male,,,"7223 Pine Street, Forestville",258.0,active
1257,ADM2050,Kevin,Rodriguez,,2015-10-16,Male,,,"5694 Elm Boulevard, Lakeside",226.0,active
1259,ADM2052,Betty,Taylor,,2010-03-04,Female,,,"1411 Oak Avenue, Forestville",237.0,active
1260,ADM2053,Joshua,Thomas,,2012-08-03,Male,,,"6365 Cedar Lane, Lakeside",246.0,active
1261,ADM2054,Betty,Williams,,2015-06-09,Female,,,"731 Cedar Lane, Springfield",247.0,active
1225,ADM2018,Daniel,Martinez,,2008-07-22,Male,,,"7706 Main St, Springfield",,active
1258,ADM2051,Susan,Moore,,2015-05-22,Female,,,"3677 Pine Street, Lakeside",,active
1252,ADM2045,James,Thomas,,2015-02-08,Male,,,"1178 Pine Street, Lakeside",,active
1263,ADM2056,Donald,Moore,,2009-01-17,Male,,,"103 Cedar Lane, Riverdale",242.0,active
1264,ADM2057,Daniel,Moore,,2006-02-18,Male,,,"804 Maple Road, Riverdale",229.0,active
1266,ADM2059,Joshua,Jackson,,2010-07-10,Male,,,"3131 Pine Street, Meadowbrook",227.0,active
1267,ADM2060,Joshua,Jackson,,2011-12-28,Male,,,"4495 Oak Avenue, Springfield",243.0,active
1268,ADM2061,Jessica,Taylor,,2013-05-13,Female,,,"7274 Maple Road, Hillcrest",227.0,active
1269,ADM2062,Michelle,Moore,,2014-03-29,Female,,,"5694 Elm Boulevard, Lakeside",241.0,active
1270,ADM2063,Patricia,Miller,,2015-10-11,Female,,,"3033 Maple Road, Springfield",226.0,active
1272,ADM2065,David,Martin,,2012-07-06,Male,,,"1074 Main St, Lakeside",258.0,active
1273,ADM2066,William,Taylor,,2015-05-19,Male,,,"3861 Oak Avenue, Springfield",228.0,active
1275,ADM2068,Jessica,Rodriguez,,2015-02-07,Female,,,"3452 Pine Street, Forestville",232.0,active
1276,ADM2069,Joseph,Martinez,,2010-09-04,Male,,,"1694 Oak Avenue, Riverdale",244.0,active
1277,ADM2070,Jessica,Johnson,,2015-09-28,Female,,,"7223 Pine Street, Forestville",236.0,active
1278,ADM2071,James,Smith,,2013-08-19,Male,,,"7036 Elm Boulevard, Riverdale",239.0,active
1279,ADM2072,Susan,Anderson,,2015-05-25,Female,,,"3131 Pine Street, Meadowbrook",255.0,active
1280,ADM2073,Sarah,Garcia,,2008-09-13,Female,,,"7056 Pine Street, Meadowbrook",248.0,active
1281,ADM2074,Donald,Hernandez,,2009-02-10,Male,,,"2721 Main St, Meadowbrook",246.0,active
1282,ADM2075,Robert,Garcia,,2006-08-27,Male,,,"3861 Oak Avenue, Springfield",256.0,active
1283,ADM2076,Patricia,Smith,,2011-02-18,Female,,,"7056 Pine Street, Meadowbrook",249.0,active
1284,ADM2077,Kenneth,Miller,,2012-02-02,Male,,,"308 Cedar Lane, Forestville",238.0,active
1285,ADM2078,Betty,Taylor,,2010-04-16,Female,,,"5694 Elm Boulevard, Lakeside",227.0,active
1286,ADM2079,Robert,Thomas,,2012-08-30,Male,,,"3131 Pine Street, Meadowbrook",240.0,active
1287,ADM2080,Elizabeth,Smith,,2008-01-10,Female,,,"4587 Pine Street, Springfield",235.0,active
1289,ADM2082,David,Rodriguez,,2007-07-12,Male,,,"6365 Cedar Lane, Lakeside",258.0,active
1290,ADM2083,Thomas,Johnson,,2009-07-23,Male,,,"6350 Elm Boulevard, Hillcrest",225.0,active
1291,ADM2084,Richard,Taylor,,2006-01-12,Male,,,"9805 Maple Road, Riverdale",256.0,active
1292,ADM2085,Jessica,Hernandez,,2015-01-29,Female,,,"6346 Elm Boulevard, Forestville",258.0,active
1293,ADM2086,Mark,Taylor,,2010-02-06,Male,,,"2927 Cedar Lane, Riverdale",258.0,active
1294,ADM2087,Mark,Martin,,2013-01-02,Male,,,"6350 Elm Boulevard, Hillcrest",224.0,active
1295,ADM2088,David,Lopez,,2015-10-21,Male,,,"9658 Elm Boulevard, Riverdale",248.0,active
1296,ADM2089,James,Williams,,2012-06-24,Male,,,"660 Oak Avenue, Riverdale",259.0,active
1297,ADM2090,Robert,Thomas,,2006-07-24,Male,,,"2721 Main St, Meadowbrook",233.0,active
1300,ADM2093,Karen,Johnson,,2005-10-25,Female,,,"3677 Pine Street, Lakeside",233.0,active
1301,ADM2094,Michelle,Hernandez,,2010-04-19,Female,,,"804 Maple Road, Riverdale",235.0,active
1302,ADM2095,Kenneth,Garcia,,2013-10-29,Male,,,"7223 Pine Street, Forestville",249.0,active
1303,ADM2096,Barbara,Gonzalez,,2012-11-24,Female,,,"2927 Cedar Lane, Riverdale",256.0,active
1304,ADM2097,Linda,Williams,,2007-02-21,Female,,,"3861 Oak Avenue, Springfield",229.0,active
1305,ADM2098,Christopher,Moore,,2005-12-30,Male,,,"7056 Pine Street, Meadowbrook",247.0,active
1306,ADM2099,Elizabeth,Jones,,2006-09-30,Female,,,"3452 Pine Street, Forestville",224.0,active
1307,ADM2100,John,Brown,,2009-09-10,Male,,,"804 Maple Road, Riverdale",232.0,active
1308,ADM2101,Christopher,Taylor,,2015-08-09,Male,,,"5694 Elm Boulevard, Lakeside",236.0,active
1309,ADM2102,Richard,Garcia,,2015-06-20,Male,,,"1074 Main St, Lakeside",234.0,active
1310,ADM2103,Patricia,Johnson,,2012-12-16,Female,,,"6402 Pine Street, Springfield",230.0,active
1311,ADM2104,Daniel,Williams,,2008-06-05,Male,,,"417 Pine Street, Lakeside",259.0,active
1312,ADM2105,Daniel,Rodriguez,,2005-09-11,Male,,,"2927 Cedar Lane, Riverdale",229.0,active
1314,ADM2107,Richard,Anderson,,2008-11-14,Male,,,"7706 Main St, Springfield",243.0,active
1315,ADM2108,Andrew,Martin,,2012-01-19,Male,,,"4024 Pine Street, Forestville",255.0,active
1262,ADM2055,Robert,Smith,,2006-03-13,Male,,,"2629 Main St, Meadowbrook",,active
1265,ADM2058,Nancy,Martin,,2014-01-05,Female,,,"5630 Main St, Meadowbrook",,active
1271,ADM2064,Steven,Anderson,,2007-12-01,Male,,,"942 Oak Avenue, Lakeside",,active
1298,ADM2091,Donald,Moore,,2005-08-31,Male,,,"6207 Oak Avenue, Forestville",,active
1299,ADM2092,Jessica,Thomas,,2014-06-25,Female,,,"3181 Pine Street, Hillcrest",,active
1316,ADM2109,Barbara,Brown,,2013-12-14,Female,,,"7117 Cedar Lane, Riverdale",228.0,active
1317,ADM2110,Jennifer,Miller,,2010-12-12,Female,,,"1074 Main St, Lakeside",237.0,active
1318,ADM2111,Joseph,Jackson,,2005-08-17,Male,,,"1349 Pine Street, Hillcrest",258.0,active
1319,ADM2112,Andrew,Williams,,2011-07-05,Male,,,"7274 Maple Road, Hillcrest",259.0,active
1320,ADM2113,Christopher,Miller,,2009-08-13,Male,,,"3305 Elm Boulevard, Lakeside",235.0,active
1322,ADM2115,Helen,Lopez,,2006-04-15,Female,,,"308 Cedar Lane, Forestville",259.0,active
1323,ADM2116,Elizabeth,Gonzalez,,2009-08-20,Female,,,"8433 Oak Avenue, Meadowbrook",256.0,active
1324,ADM2117,Joseph,Lopez,,2007-03-28,Male,,,"6207 Oak Avenue, Forestville",228.0,active
1325,ADM2118,Robert,Rodriguez,,2006-04-24,Male,,,"417 Pine Street, Lakeside",233.0,active
1326,ADM2119,William,Moore,,2012-03-24,Male,,,"1915 Elm Boulevard, Forestville",240.0,active
1327,ADM2120,Barbara,Hernandez,,2014-04-08,Female,,,"6365 Cedar Lane, Lakeside",238.0,active
1328,ADM2121,Linda,Brown,,2015-08-06,Female,,,"7117 Cedar Lane, Riverdale",233.0,active
1329,ADM2122,Robert,Lopez,,2007-05-18,Male,,,"6460 Cedar Lane, Springfield",258.0,active
1330,ADM2123,Robert,Wilson,,2013-10-19,Male,,,"942 Oak Avenue, Lakeside",257.0,active
1990,STU_TEST_d16b08,Test,Student,,2010-01-01,male,student_test_d16b08@example.com,,,,active
1332,ADM2125,James,Williams,,2014-05-26,Male,,,"1220 Main St, Springfield",229.0,active
1333,ADM2126,Kevin,Jackson,,2012-05-04,Male,,,"2927 Cedar Lane, Riverdale",259.0,active
1334,ADM2127,Sarah,Martin,,2012-09-19,Female,,,"4585 Elm Boulevard, Riverdale",237.0,active
1335,ADM2128,John,Gonzalez,,2005-09-13,Male,,,"6350 Elm Boulevard, Hillcrest",248.0,active
1336,ADM2129,Mark,Miller,,2006-12-26,Male,,,"2638 Main St, Lakeside",230.0,active
1337,ADM2130,Barbara,Johnson,,2009-04-12,Female,,,"488 Pine Street, Riverdale",232.0,active
1338,ADM2131,Steven,Davis,,2005-04-03,Male,,,"103 Cedar Lane, Riverdale",232.0,active
1339,ADM2132,Donald,Garcia,,2014-06-22,Male,,,"7235 Oak Avenue, Lakeside",227.0,active
1340,ADM2133,Joshua,Miller,,2013-04-20,Male,,,"1805 Cedar Lane, Forestville",231.0,active
1341,ADM2134,Joseph,Hernandez,,2009-11-22,Male,,,"6505 Pine Street, Springfield",238.0,active
1342,ADM2135,Mary,Moore,,2015-01-03,Female,,,"660 Oak Avenue, Riverdale",240.0,active
1343,ADM2136,Christopher,Brown,,2011-03-29,Male,,,"9821 Oak Avenue, Riverdale",225.0,active
1344,ADM2137,Jessica,Wilson,,2014-10-14,Female,,,"6207 Oak Avenue, Forestville",233.0,active
1345,ADM2138,John,Rodriguez,,2015-04-21,Male,,,"4024 Pine Street, Forestville",246.0,active
1346,ADM2139,Lisa,Taylor,,2009-05-01,Female,,,"804 Maple Road, Riverdale",234.0,active
1347,ADM2140,Donald,Anderson,,2014-08-15,Male,,,"1858 Main St, Springfield",237.0,active
1348,ADM2141,Kevin,Martin,,2012-08-03,Male,,,"9821 Oak Avenue, Riverdale",241.0,active
1349,ADM2142,Richard,Johnson,,2005-07-21,Male,,,"6350 Elm Boulevard, Hillcrest",238.0,active
1350,ADM2143,Christopher,Thomas,,2011-05-21,Male,,,"206 Maple Road, Forestville",225.0,active
1351,ADM2144,Joseph,Smith,,2006-03-14,Male,,,"1694 Oak Avenue, Riverdale",226.0,active
1352,ADM2145,William,Miller,,2007-09-15,Male,,,"6402 Pine Street, Springfield",224.0,active
1353,ADM2146,Christopher,Thomas,,2006-10-07,Male,,,"3877 Main St, Springfield",230.0,active
1354,ADM2147,Joshua,Smith,,2014-09-23,Male,,,"5633 Elm Boulevard, Hillcrest",256.0,active
1355,ADM2148,Elizabeth,Jackson,,2007-04-26,Female,,,"8611 Main St, Meadowbrook",238.0,active
1356,ADM2149,Karen,Thomas,,2015-11-29,Female,,,"308 Cedar Lane, Forestville",239.0,active
1357,ADM2150,William,Hernandez,,2015-08-29,Male,,,"3033 Maple Road, Springfield",247.0,active
1358,ADM2151,Michelle,Martin,,2010-12-21,Female,,,"2721 Main St, Meadowbrook",226.0,active
1359,ADM2152,Joshua,Thomas,,2005-11-23,Male,,,"9256 Main St, Lakeside",239.0,active
1361,ADM2154,James,Martinez,,2012-12-12,Male,,,"1349 Pine Street, Hillcrest",225.0,active
1362,ADM2155,Brian,Davis,,2008-10-18,Male,,,"111 Oak Avenue, Meadowbrook",243.0,active
1363,ADM2156,Jessica,Thomas,,2011-05-20,Female,,,"1858 Main St, Springfield",246.0,active
1364,ADM2157,James,Johnson,,2015-02-05,Male,,,"6691 Main St, Lakeside",227.0,active
1365,ADM2158,Christopher,Smith,,2013-04-03,Male,,,"6704 Elm Boulevard, Springfield",230.0,active
1366,ADM2159,Mark,Jones,,2014-01-12,Male,,,"6817 Pine Street, Springfield",227.0,active
1367,ADM2160,Robert,Garcia,,2008-07-22,Male,,,"4508 Main St, Lakeside",230.0,active
1368,ADM2161,James,Martinez,,2005-09-20,Male,,,"4495 Oak Avenue, Springfield",240.0,active
1369,ADM2162,Daniel,Wilson,,2010-12-14,Male,,,"804 Maple Road, Riverdale",243.0,active
1370,ADM2163,Michelle,Wilson,,2005-07-27,Female,,,"4587 Pine Street, Springfield",239.0,active
1371,ADM2164,Sarah,Jackson,,2013-04-21,Female,,,"9127 Oak Avenue, Springfield",258.0,active
1372,ADM2165,Richard,Rodriguez,,2009-05-08,Male,,,"2721 Main St, Meadowbrook",231.0,active
1373,ADM2166,Sharon,Lopez,,2013-12-31,Female,,,"6350 Elm Boulevard, Hillcrest",244.0,active
1374,ADM2167,Sandra,Anderson,,2007-09-17,Female,,,"3033 Maple Road, Springfield",235.0,active
1375,ADM2168,Donald,Lopez,,2007-06-17,Male,,,"9821 Oak Avenue, Riverdale",242.0,active
1376,ADM2169,Nancy,Taylor,,2010-07-01,Female,,,"3131 Pine Street, Meadowbrook",224.0,active
1377,ADM2170,Lisa,Miller,,2015-09-14,Female,,,"6207 Oak Avenue, Forestville",230.0,active
1378,ADM2171,Betty,Moore,,2006-07-11,Female,,,"7706 Main St, Springfield",254.0,active
1379,ADM2172,Brian,Williams,,2013-04-11,Male,,,"540 Elm Boulevard, Forestville",230.0,active
1380,ADM2173,Kenneth,Garcia,,2009-07-09,Male,,,"6365 Cedar Lane, Lakeside",229.0,active
1381,ADM2174,Michael,Moore,,2011-12-31,Male,,,"1915 Elm Boulevard, Forestville",245.0,active
1382,ADM2175,Mark,Johnson,,2011-08-02,Male,,,"8433 Oak Avenue, Meadowbrook",247.0,active
1384,ADM2177,Paul,Miller,,2011-04-11,Male,,,"308 Cedar Lane, Forestville",259.0,active
1385,ADM2178,Donna,Miller,,2009-01-04,Female,,,"4028 Main St, Lakeside",225.0,active
1386,ADM2179,Andrew,Rodriguez,,2011-02-08,Male,,,"1268 Main St, Riverdale",259.0,active
1387,ADM2180,Linda,Martin,,2014-12-14,Female,,,"5694 Elm Boulevard, Lakeside",242.0,active
1388,ADM2181,Donald,Miller,,2008-08-01,Male,,,"5630 Main St, Meadowbrook",244.0,active
1389,ADM2182,Patricia,Martin,,2008-12-24,Female,,,"3803 Oak Avenue, Hillcrest",230.0,active
1390,ADM2183,Karen,Lopez,,2005-12-13,Female,,,"4028 Main St, Lakeside",231.0,active
1391,ADM2184,Betty,Gonzalez,,2005-04-18,Female,,,"540 Elm Boulevard, Forestville",233.0,active
1392,ADM2185,Andrew,Gonzalez,,2015-03-18,Male,,,"6207 Oak Avenue, Forestville",258.0,active
1393,ADM2186,Brian,Taylor,,2011-04-14,Male,,,"6912 Main St, Hillcrest",249.0,active
1394,ADM2187,Kenneth,Davis,,2006-06-15,Male,,,"1805 Cedar Lane, Forestville",248.0,active
1395,ADM2188,Donald,Thomas,,2009-10-26,Male,,,"7235 Oak Avenue, Lakeside",237.0,active
1397,ADM2190,Donna,Smith,,2006-09-02,Female,,,"6402 Pine Street, Springfield",228.0,active
1398,ADM2191,Kenneth,Johnson,,2015-10-30,Male,,,"308 Cedar Lane, Forestville",239.0,active
1399,ADM2192,Elizabeth,Jackson,,2011-07-01,Female,,,"7190 Cedar Lane, Forestville",259.0,active
1400,ADM2193,Kenneth,Jackson,,2005-09-23,Male,,,"306 Oak Avenue, Meadowbrook",234.0,active
1401,ADM2194,Nancy,Hernandez,,2012-11-20,Female,,,"1998 Cedar Lane, Hillcrest",232.0,active
1403,ADM2196,Brian,Jackson,,2011-06-20,Male,,,"8611 Main St, Meadowbrook",232.0,active
1404,ADM2197,Christopher,Hernandez,,2009-12-01,Male,,,"6350 Elm Boulevard, Hillcrest",224.0,active
1405,ADM2198,Jessica,Garcia,,2007-07-19,Female,,,"6912 Main St, Hillcrest",229.0,active
1406,ADM2199,Elizabeth,Smith,,2011-10-07,Female,,,"111 Oak Avenue, Meadowbrook",237.0,active
1407,ADM2200,Sarah,Rodriguez,,2009-07-26,Female,,,"6913 Oak Avenue, Riverdale",230.0,active
1408,ADM2201,Carol,Lopez,,2015-10-13,Female,,,"8659 Oak Avenue, Springfield",255.0,active
1409,ADM2202,Nancy,Brown,,2014-07-31,Female,,,"2638 Main St, Lakeside",254.0,active
1410,ADM2203,Robert,Anderson,,2005-02-17,Male,,,"1349 Pine Street, Hillcrest",227.0,active
1411,ADM2204,Jennifer,Jackson,,2012-03-30,Female,,,"9821 Oak Avenue, Riverdale",257.0,active
1412,ADM2205,Sarah,Williams,,2010-05-13,Female,,,"1858 Main St, Springfield",242.0,active
1413,ADM2206,Barbara,Jackson,,2012-09-29,Female,,,"4508 Main St, Lakeside",259.0,active
1414,ADM2207,Karen,Johnson,,2005-10-02,Female,,,"4587 Pine Street, Springfield",256.0,active
1415,ADM2208,Robert,Johnson,,2012-09-15,Male,,,"417 Pine Street, Lakeside",235.0,active
1416,ADM2209,Thomas,Thomas,,2011-07-22,Male,,,"2721 Main St, Meadowbrook",248.0,active
1417,ADM2210,Sharon,Garcia,,2009-02-02,Female,,,"4024 Pine Street, Forestville",238.0,active
1418,ADM2211,Elizabeth,Taylor,,2005-03-04,Female,,,"111 Oak Avenue, Meadowbrook",248.0,active
1419,ADM2212,Joseph,Martinez,,2011-08-01,Male,,,"3033 Maple Road, Springfield",256.0,active
1420,ADM2213,Andrew,Brown,,2014-02-25,Male,,,"6460 Cedar Lane, Springfield",257.0,active
1421,ADM2214,Thomas,Gonzalez,,2011-05-17,Male,,,"5657 Main St, Riverdale",250.0,active
1422,ADM2215,Kenneth,Wilson,,2010-11-01,Male,,,"3305 Elm Boulevard, Lakeside",237.0,active
1423,ADM2216,Robert,Martinez,,2006-05-06,Male,,,"3803 Oak Avenue, Hillcrest",235.0,active
1396,ADM2189,William,Garcia,,2007-10-18,Male,,,"2351 Main St, Lakeside",,active
1425,ADM2218,Helen,Gonzalez,,2007-01-01,Female,,,"206 Maple Road, Forestville",229.0,active
1427,ADM2220,Lisa,Hernandez,,2008-09-01,Female,,,"6817 Pine Street, Springfield",229.0,active
1428,ADM2221,Karen,Miller,,2012-09-17,Female,,,"2596 Maple Road, Lakeside",250.0,active
1429,ADM2222,William,Brown,,2014-03-16,Male,,,"7291 Main St, Meadowbrook",257.0,active
1431,ADM2224,Daniel,Anderson,,2015-01-21,Male,,,"488 Pine Street, Riverdale",247.0,active
1432,ADM2225,Steven,Smith,,2012-11-11,Male,,,"7706 Main St, Springfield",237.0,active
1434,ADM2227,Patricia,Anderson,,2008-11-09,Female,,,"4028 Main St, Lakeside",242.0,active
1435,ADM2228,Susan,Hernandez,,2011-12-07,Female,,,"2638 Main St, Lakeside",242.0,active
1436,ADM2229,William,Moore,,2006-10-11,Male,,,"4028 Main St, Lakeside",239.0,active
1437,ADM2230,William,Gonzalez,,2007-02-07,Male,,,"4495 Oak Avenue, Springfield",227.0,active
1438,ADM2231,Joshua,Miller,,2008-01-19,Male,,,"6912 Main St, Hillcrest",240.0,active
1439,ADM2232,Joseph,Moore,,2007-07-14,Male,,,"6913 Oak Avenue, Riverdale",232.0,active
1440,ADM2233,Elizabeth,Taylor,,2014-09-04,Female,,,"6365 Cedar Lane, Lakeside",225.0,active
1441,ADM2234,Carol,Taylor,,2014-02-05,Female,,,"9858 Maple Road, Riverdale",246.0,active
1442,ADM2235,Barbara,Rodriguez,,2012-11-30,Female,,,"4024 Pine Street, Forestville",242.0,active
1443,ADM2236,Ruth,Jones,,2014-12-16,Female,,,"1074 Main St, Lakeside",224.0,active
1444,ADM2237,Robert,Martin,,2007-05-05,Male,,,"2721 Main St, Meadowbrook",244.0,active
1445,ADM2238,Sandra,Williams,,2015-06-26,Female,,,"1170 Maple Road, Forestville",246.0,active
1447,ADM2240,Carol,Lopez,,2015-09-22,Female,,,"2629 Main St, Meadowbrook",236.0,active
1448,ADM2241,Betty,Wilson,,2012-11-03,Female,,,"1915 Elm Boulevard, Forestville",254.0,active
1449,ADM2242,Joseph,Taylor,,2005-08-03,Male,,,"8433 Oak Avenue, Meadowbrook",247.0,active
1450,ADM2243,Joshua,Williams,,2011-10-05,Male,,,"3131 Pine Street, Meadowbrook",254.0,active
1451,ADM2244,Nancy,Jones,,2011-03-06,Female,,,"660 Oak Avenue, Riverdale",246.0,active
1452,ADM2245,Linda,Gonzalez,,2007-07-28,Female,,,"942 Oak Avenue, Lakeside",245.0,active
1453,ADM2246,James,Anderson,,2012-03-30,Male,,,"1349 Pine Street, Hillcrest",258.0,active
1454,ADM2247,Donald,Wilson,,2007-10-26,Male,,,"6704 Elm Boulevard, Springfield",256.0,active
1455,ADM2248,Ruth,Moore,,2014-09-24,Female,,,"7036 Elm Boulevard, Riverdale",254.0,active
1456,ADM2249,Jennifer,Martin,,2011-03-03,Female,,,"2209 Main St, Forestville",227.0,active
1457,ADM2250,Betty,Williams,,2015-04-12,Female,,,"3065 Cedar Lane, Riverdale",244.0,active
1459,ADM2252,James,Wilson,,2011-06-07,Male,,,"804 Maple Road, Riverdale",236.0,active
1460,ADM2253,Michelle,Garcia,,2005-07-19,Female,,,"6704 Elm Boulevard, Springfield",258.0,active
1461,ADM2254,Jennifer,Hernandez,,2014-11-15,Female,,,"8433 Oak Avenue, Meadowbrook",255.0,active
1464,ADM2257,James,Rodriguez,,2006-12-22,Male,,,"5657 Main St, Riverdale",238.0,active
1465,ADM2258,Donald,Jackson,,2010-05-13,Male,,,"8484 Main St, Springfield",240.0,active
1466,ADM2259,Michelle,Taylor,,2007-01-21,Female,,,"2351 Main St, Lakeside",233.0,active
1467,ADM2260,Michelle,Rodriguez,,2011-08-20,Female,,,"660 Oak Avenue, Riverdale",224.0,active
1468,ADM2261,Thomas,Miller,,2009-03-03,Male,,,"3065 Cedar Lane, Riverdale",255.0,active
1470,ADM2263,Mary,Martin,,2008-07-13,Female,,,"1694 Oak Avenue, Riverdale",232.0,active
1471,ADM2264,Sarah,Brown,,2012-03-09,Female,,,"5657 Main St, Riverdale",259.0,active
1472,ADM2265,Helen,Rodriguez,,2010-11-30,Female,,,"7117 Cedar Lane, Riverdale",254.0,active
1473,ADM2266,Susan,Anderson,,2011-03-06,Female,,,"1349 Pine Street, Hillcrest",245.0,active
1474,ADM2267,Robert,Thomas,,2006-05-19,Male,,,"488 Pine Street, Riverdale",245.0,active
1475,ADM2268,Michelle,Anderson,,2008-10-08,Female,,,"6402 Pine Street, Springfield",234.0,active
1476,ADM2269,William,Miller,,2005-07-22,Male,,,"4176 Oak Avenue, Hillcrest",248.0,active
1424,ADM2217,Elizabeth,Anderson,,2011-12-25,Female,,,"4176 Oak Avenue, Hillcrest",,active
1458,ADM2251,Donald,Martin,,2006-02-23,Male,,,"2351 Main St, Lakeside",,active
1463,ADM2256,Daniel,Lopez,,2011-10-20,Male,,,"1178 Pine Street, Lakeside",,active
1446,ADM2239,Michael,Gonzalez,,2006-01-14,Male,,,"942 Oak Avenue, Lakeside",,active
1469,ADM2262,Robert,Davis,,2011-12-17,Male,,,"4508 Main St, Lakeside",,active
1478,ADM2271,Brian,Lopez,,2010-09-16,Male,,,"1349 Pine Street, Hillcrest",239.0,active
1479,ADM2272,Andrew,Anderson,,2006-10-08,Male,,,"4589 Cedar Lane, Riverdale",234.0,active
1481,ADM2274,Betty,Martinez,,2013-03-20,Female,,,"103 Cedar Lane, Riverdale",233.0,active
1482,ADM2275,Karen,Johnson,,2005-08-10,Female,,,"1220 Main St, Springfield",246.0,active
1483,ADM2276,David,Johnson,,2013-12-14,Male,,,"4176 Oak Avenue, Hillcrest",250.0,active
1484,ADM2277,Jennifer,Thomas,,2014-01-21,Female,,,"7223 Pine Street, Forestville",241.0,active
